SEX,CURICULUM,LOCAL_CAPITAL,PREV_DEGREE,GPA,RELIGION,FUND,CUM_GPA,COUNT_TERM,PARENTS_INCOME,PARENTS_MARRIED,DROPOUT
0,0,0,0,3,0,0,2.54,10,32500,1,1
0,0,1,0,2.74,0,0,2.55,10,55000,1,1
1,0,1,2,3.21,0,0,2.78,9,15000,1,1
0,0,1,0,3.49,0,0,3.66,8,30000,1,1
1,0,1,0,3.3,0,0,2.7,9,6500,1,1
1,0,0,0,3.14,0,0,3.21,8,35000,1,1
1,0,1,0,3.14,0,0,3.1,8,10500,1,1
1,0,0,0,3.56,0,0,3.37,8,3000,1,1
1,0,1,0,3.46,1,0,2.38,9,15000,1,1
0,0,1,2,2.83,0,0,2.34,10,17500,2,1
1,0,1,0,3.57,0,0,3.31,8,17500,1,1
1,0,0,0,3.44,0,0,3.4,8,4500,0,1
0,0,1,0,2.81,1,0,2.76,8,67499,3,1
1,0,0,0,3.19,0,0,2.6,8,62499,3,1
0,0,1,0,2.94,0,0,1.97,8,20000,0,0
0,0,1,0,3.17,0,0,3.33,10,20000,1,1
1,0,1,0,3.16,0,0,2.56,10,13500,0,1
0,1,0,2,2.07,1,0,2.73,10,30000,1,1
1,1,0,0,2.88,0,0,3.32,8,33000,1,1
1,1,1,2,3.58,1,0,2.92,9,2500,1,1
1,1,1,2,3.03,0,0,2.62,9,7500,1,1
1,1,0,2,2.85,0,0,2.3,10,55000,1,1
1,1,0,2,2.98,0,0,2.95,8,27500,1,1
1,1,0,0,2.8,0,0,2.39,9,42500,1,1
0,1,1,2,2.38,0,0,1.84,6,20000,1,0
1,1,1,0,2.82,0,0,2.79,9,30000,1,1
1,1,1,0,3.16,0,0,3.59,8,25000,0,1
1,1,1,0,3.41,0,0,3.14,8,25790,1,1
1,1,1,2,3.15,0,0,2.79,8,52499,3,1
1,1,0,0,3.66,1,0,3,9,9000,1,1
1,0,1,0,3.15,0,0,2.64,3,17500,1,1
0,0,0,0,3.67,0,0,3.84,3,20000,1,1
0,0,0,0,3.25,1,0,2.72,3,15000,1,1
0,0,1,0,3.48,0,0,2.51,3,6500,1,1
1,0,0,0,3.14,0,0,2.33,5,9000,1,1
1,1,1,0,3.14,0,0,2.79,3,3750,1,1
0,1,0,0,2.99,0,0,2.18,3,10500,1,1
0,1,1,0,2.97,0,0,2.44,4,15000,1,1
1,1,0,0,2.89,0,0,2.48,4,20000,1,1
1,1,0,0,2.96,1,0,2.77,3,5800,1,1
1,1,0,0,2.86,0,0,2.22,6,10000,1,1
1,1,1,0,2.95,0,0,2.62,4,3500,2,1
0,1,1,0,2.98,1,0,2.75,3,2000,3,1
1,1,0,0,2.81,0,0,2.64,3,4000,0,1
1,1,0,0,3.29,1,0,2.75,3,6220,1,1
1,1,1,0,3.06,0,0,3.17,3,8500,1,1
1,1,0,1,2.87,0,0,2.15,6,10000,1,1
1,1,0,0,3.07,1,0,2.37,3,6250,1,1
1,1,1,0,3.18,0,0,2.97,3,15350,1,1
0,1,0,0,2.83,0,0,2.36,3,5000,1,1
0,1,0,0,2.87,0,0,2.1,4,7500,3,1
0,1,0,1,3.25,0,0,2.5,4,6000,1,1
0,1,1,0,2.82,0,0,1.67,2,4750,1,0
